2019-06-15T08:11:47	T0195a	SUPER_HIGH_FREQUENCY	-	-	2019-06-15T08:12:07	2019-06-15T08:12:57	D	QuakeML
2019-06-15T08:33:27	T0195b	SUPER_HIGH_FREQUENCY	-	-	2019-06-15T08:33:47	2019-06-15T08:34:37	D	QuakeML
2019-06-16T08:46:42	T0196a	SUPER_HIGH_FREQUENCY	-	-	2019-06-16T08:47:02	2019-06-16T08:47:52	C	QuakeML
2019-06-16T09:06:04	T0196b	SUPER_HIGH_FREQUENCY	-	-	2019-06-16T09:06:24	2019-06-16T09:07:14	D	QuakeML
2019-06-17T08:11:56	T0197a	SUPER_HIGH_FREQUENCY	-	-	2019-06-17T08:12:16	2019-06-17T08:13:06	D	QuakeML
2019-06-17T09:31:42	T0197b	SUPER_HIGH_FREQUENCY	-	-	2019-06-17T09:32:02	2019-06-17T09:32:52	C	QuakeML
2019-06-17T12:10:54	S0197a	2.4_HZ	-	-	2019-06-17T12:16:30	2019-06-17T12:25:12	D	QuakeML
2019-06-17T22:29:43	T0198a	SUPER_HIGH_FREQUENCY	-	-	2019-06-17T22:30:03	2019-06-17T22:30:53	D	QuakeML
2019-06-18T10:10:50	T0198b	SUPER_HIGH_FREQUENCY	-	-	2019-06-18T10:11:10	2019-06-18T10:12:00	C	QuakeML
2019-06-18T10:27:44	T0198c	SUPER_HIGH_FREQUENCY	-	-	2019-06-18T10:28:04	2019-06-18T10:28:54	D	QuakeML
2019-06-19T09:57:12	T0199a	SUPER_HIGH_FREQUENCY	-	-	2019-06-19T09:57:32	2019-06-19T09:58:22	C	QuakeML
2019-06-19T11:10:13	T0199b	SUPER_HIGH_FREQUENCY	-	-	2019-06-19T11:10:33	2019-06-19T11:11:23	D	QuakeML
2019-06-20T10:19:20	T0200a	SUPER_HIGH_FREQUENCY	-	-	2019-06-20T10:19:40	2019-06-20T10:20:30	D	QuakeML
